M0042A,11.01,64.93,11.76,-3.25241,1.89086,0.684365,,7.78014
M0042A,11.11,65.03,11.78,26.1418,-0.0640427,0.545896,,6.62111
M0042A,11.21,65.13,11.80,7.13126,3.63006,-0.630869,,9.63071
M0042A,11.31,65.23,11.83,47.3653,-0.424773,2.29425,,15.048
M0042A,11.41,65.33,11.85,-3.35808,3.9188,-0.455158,,8.40267
M0042A,11.51,65.43,11.87,-2.81121,0.17889,2.48255,,7.78906
M0042A,11.61,65.53,11.90,18.9885,1.57308,-0.000646891,,6.56814
M0042A,11.71,65.63,11.92,-3.13813,-0.204342,1.77244,,4.17734
M0042A,11.81,65.73,11.94,3.66646,-11.104,5.33551,,10.7848
M0042A,11.91,65.83,11.97,0.107945,0.414198,1.74264,,9.59203
M0042A,12.01,65.93,11.99,-4.30314,3.15182,-0.113597,,9.57555
M0042A,12.11,66.03,12.01,15.3227,-0.849437,1.64677,,8.34991
M0042A,12.21,66.13,12.03,-2.38482,-0.169009,2.37959,,7.77568
M0042A,12.31,66.23,12.06,16.0136,-1.06002,2.98122,,9.54821
M0042A,12.41,66.33,12.08,2.09144,-0.444056,3.15629,,8.4075
M0042A,12.51,66.43,12.10,17.5281,4.32257,-0.100982,,12.5968
M0042A,12.61,66.53,12.13,11.7425,3.52717,-0.226852,,8.44146
M0042A,12.71,66.63,12.15,-7.19929,5.66736,0.245579,,12.0176
M0042A,12.81,66.73,12.17,22.2499,2.15798,-0.0143017,,10.7725
M0042A,12.91,66.83,12.20,-3.4178,2.68229,0.767622,,8.36424
M0042A,13.01,66.93,12.22,-3.6793,1.15259,2.06624,,10.1276
M0042A,13.11,67.03,12.24,-1.99099,1.61304,-0.0664641,,5.36474
M0042A,13.21,67.13,12.26,3.70121,0.877636,1.97379,,9.4886
M0042A,13.31,67.23,12.29,10.3762,1.73869,0.0145978,,7.77568
M0042A,13.41,67.33,12.31,5.1635,3.44039,0.415176,,10.174
M0042A,13.51,67.43,12.33,-7.83791,4.47123,-0.0300258,,12.5464
M0042A,13.61,67.53,12.36,-2.71442,1.95192,0.039956,,6.59074
M0042A,13.71,67.63,12.38,-43.6913,8.9672,0.310006,,11.3515
M0042A,13.81,67.73,12.40,-3.55362,1.70303,1.09885,,6.5719
M0042A,13.91,67.83,12.43,11.334,1.61273,0.858888,,9.59203
M0042A,14.01,67.93,12.45,-0.886024,0.305909,1.10837,,7.78014
M0042A,14.11,68.03,12.47,-5.58018,4.61609,-0.0265663,,14.3633
M0042A,14.21,68.13,12.49,13.5697,9.0614,-0.607709,,20.9465
M0042A,14.31,68.23,12.52,-5.28414,3.04221,1.68459,,11.358
M0042A,14.41,68.33,12.54,19.723,1.19539,1.39447,,10.0759
M0042A,14.51,68.43,12.56,19.12,3.30155,0.365041,,14.9276
M0042A,14.61,68.53,12.59,22.836,4.87008,-0.353339,,16.7041
M0042A,14.71,68.63,12.61,18.9832,-0.619221,3.8844,,20.4767
M0042A,14.81,68.73,12.63,24.3856,3.8486,0.202774,,16.1045
M0042A,14.91,68.83,12.66,7.49955,0.864567,3.65733,,19.1674
M0042A,15.01,68.93,12.68,17.176,5.61152,0.0851449,,14.8833
M0042A,15.11,69.03,12.70,10.0505,4.08075,0.0235194,,12.3441
M0042A,15.21,69.13,12.72,-12.4009,6.85531,2.38993,,22.9315
M0042A,15.31,69.23,12.75,21.8481,3.72199,0.1254,,14.2547
M0042A,15.41,69.33,12.77,24.6053,5.54727,0.159486,,22.4047
M0042A,15.51,69.43,12.79,-8.33952,5.40789,0.325218,,14.901
M0042A,15.61,69.53,12.82,13.8941,8.54515,-2.02031,,19.2015
M0042A,15.71,69.63,12.84,14.4834,7.19077,-0.111435,,21.7694
M0042A,15.81,69.73,12.86,8.8363,5.06173,0.384493,,22.8637
M0042A,15.91,69.83,12.89,-9.08239,6.1888,3.48974,,29.0774
M0042A,16.01,69.93,12.91,-10.8187,6.65894,3.8482,,27.8236
M0042A,16.11,70.03,12.93,-7.51171,4.13728,2.08363,,18.5601
M0042A,16.21,70.13,12.95,-10.4137,9.92094,-0.696761,,26.6343
M0042A,16.31,70.23,12.98,51.5923,1.80659,-0.308396,,21.0472
M0042A,16.41,70.33,13.00,37.8683,0.810486,0.0441626,,14.8042
M0042A,16.51,70.43,13.02,-0.0642199,3.52843,2.69131,,19.0434
M0042A,16.61,70.53,13.05,-8.29748,6.94805,0.731158,,21.564
M0042A,16.71,70.63,13.07,1.85386,9.4627,-1.0546,,23.5373
M0042A,16.81,70.73,13.09,-10.3755,6.26014,1.08449,,20.5132
M0042A,16.91,70.83,13.12,19.4846,4.16004,0.657137,,17.984
M0042A,17.01,70.93,13.14,5.26253,5.73344,-0.213253,,20.5132
M0042A,17.11,71.03,13.16,-5.7623,4.98199,0.509918,,14.2463
M0042A,17.21,71.13,13.18,10.6519,2.55384,4.13767,,22.2589
M0042A,17.31,71.23,13.21,42.7725,3.31683,1.42013,,20.3438
M0042A,17.41,71.33,13.23,-7.2675,3.35687,3.51541,,22.8097
M0042A,17.51,71.43,13.25,9.52484,10.8812,0.312471,,30.7695
M0042A,17.61,71.53,13.28,17.7377,7.84661,0.0765753,,29.1465
M0042A,17.71,71.63,13.30,7.95289,6.47422,0.270968,,19.1787
M0042A,17.81,71.73,13.32,8.60609,6.45872,-0.119822,,19.8091
M0042A,17.91,71.83,13.35,27.9972,5.03901,2.35426,,24.6592
M0042A,18.01,71.93,13.37,10.2209,5.37425,2.08754,,19.0659
M0042A,18.11,72.03,13.39,-8.52341,-0.22322,9.69718,,24.0711
M0042A,18.21,72.13,13.41,-12.2956,8.8966,1.57207,,26.5399
M0042A,18.31,72.23,13.44,14.7849,3.10188,4.05948,,26.0458
M0042A,18.41,72.33,13.46,-8.53802,6.55902,1.99384,,25.3805
M0042A,18.51,72.43,13.48,11.4288,6.58904,0.108336,,24.1281
M0042A,18.61,72.53,13.51,-11.8268,10.5792,0.0264429,,25.8769
M0042A,18.71,72.63,13.53,22.8683,8.38727,0.430661,,27.0453
