,age,nominal esl (m),sealevel,2 sigma error esl
241,21.203,-139.31,-133.76,1.59
242,21.342,-138.96,-133.62,1.51
243,21.481,-138.61,-133.47,1.44
244,21.62,-138.27,-133.33,1.44
245,21.759,-137.94,-133.19,1.44
246,21.898,-137.61,-133.04,1.44
247,22.037,-137.27,-132.9,1.37
248,22.176,-136.92,-132.76,1.3
249,22.419,-136.29,-132.51,1.3
250,22.558,-135.93,-132.37,1.3
251,22.697,-135.57,-132.23,1.3
252,22.836,-135.21,-132.08,1.3
253,22.974,-134.86,-131.94,1.3
254,23.113,-134.59,-131.8,1.3
255,23.252,-134.35,-131.66,1.23
256,23.391,-134.1,-131.51,1.15
257,23.53,-133.85,-131.37,1.15
258,23.669,-133.61,-131.23,1.15
259,23.808,-133.36,-131.09,1.15
260,23.947,-133.12,-130.94,1.15
261,24.086,-132.87,-130.8,1.23
262,24.225,-132.63,-130.66,1.23
263,24.364,-132.39,-130.52,1.3
264,24.503,-132.15,-130.38,1.3
265,24.641,-131.91,-130.23,1.3
266,24.78,-131.67,-130.09,1.3
267,24.919,-131.44,-129.95,1.3
268,25.058,-131.12,-129.81,1.3
269,25.197,-130.69,-129.67,1.3
270,25.336,-130.25,-129.52,1.3
271,25.475,-129.82,-129.38,1.37
272,25.614,-129.39,-129.24,1.44
273,25.753,-128.95,-129.1,1.44
274,25.892,-128.5,-128.95,1.44
275,26.065,-127.95,-128.78,1.44
276,26.239,-127.42,-128.6,1.51
277,26.413,-126.9,-128.42,1.51
278,26.586,-126.68,-128.24,1.59
279,26.76,-126.74,-128.07,1.59
280,26.934,-126.89,-127.89,1.66
281,27.107,-126.68,-127.71,1.8
282,27.281,-126.25,-127.53,1.8
283,27.455,-125.82,-127.36,1.87
284,27.628,-125.26,-127.18,1.87
285,27.802,-124.67,-127.0,1.95
286,27.976,-124.07,-126.82,1.95
287,28.149,-123.48,-126.65,2.02
288,28.323,-122.88,-126.47,2.09
289,28.497,-122.28,-126.29,2.16
290,28.67,-121.31,-126.12,2.23
291,28.844,-120.33,-125.94,2.23
292,29.017,-119.34,-125.76,2.31
293,29.191,-118.35,-125.57,2.38
294,29.365,-117.36,-125.17,2.67
295,29.538,-115.81,-123.92,4.4
296,29.712,-112.3,-120.9,6.13
297,29.886,-108.87,-115.37,6.78
298,30.059,-105.48,-108.53,3.6
299,30.233,-102.12,-101.67,2.38
300,30.407,-98.76,-94.82,5.26
301,30.58,-95.39,-88.78,6.78
302,30.754,-92.03,-85.1,5.84
303,30.928,-88.69,-83.24,5.05
304,31.101,-85.36,-82.23,4.61
305,31.275,-82.03,-81.48,4.33
306,31.449,-78.73,-80.8,4.04
307,31.622,-75.46,-80.13,3.75
308,31.796,-72.22,-79.46,3.46
309,31.97,-69.01,-78.8,3.24
310,32.143,-69.25,-78.13,3.03
311,32.317,-70.21,-77.46,2.96
