Hole ID,Depth (mbsf),*Corrected Depth Below Sea Level (DS),Interpolated ages from graphs // coral samples (ka BP),K (Bq/kg),U (Bq/kg),Th (Bq/kg),TGR TP cps
M0031A,11.47,102.37,14.77,15.4675,2.7907,0.0217583,8.85695
M0031A,11.57,102.47,14.79,-0.880911,2.24321,-0.0492431,5.97317
M0031A,11.67,102.57,14.82,9.70429,0.700576,0.89874,5.61691
M0031A,11.77,102.67,14.84,-3.14622,1.51654,0.608681,4.67657
M0031A,11.87,102.77,14.87,-10.3937,0.140291,3.02135,7.68884
M0031A,11.97,102.87,14.89,4.4633,1.04786,-0.0166766,4.82819
M0031A,12.07,102.97,14.92,9.45159,3.13375,0.139082,8.51495
M0031A,12.17,103.07,14.94,26.3705,-0.0956495,0.636736,6.47189
M0031A,12.27,103.17,14.97,17.3809,-0.250055,1.02282,5.19867
M0031A,12.37,103.27,14.99,3.63351,2.19748,-0.0104229,6.33857
M0031A,12.47,103.37,15.01,1.03165,2.27426,0.923712,6.73908
M0031A,12.57,103.47,15.04,0.513439,2.10202,-0.543647,7.59075
M0031A,12.67,103.57,15.06,9.54825,1.34238,1.09014,7.978
M0031A,12.77,103.67,15.09,8.26224,0.351931,2.48372,9.79855
M0031A,12.87,103.77,15.11,26.1083,1.08232,-0.0220729,7.02786
M0031A,12.97,103.87,15.14,4.21574,2.05269,0.748883,7.99788
M0031A,13.07,103.97,15.16,-35.4847,6.26359,0.0404292,6.16094
M0031A,13.17,104.07,15.19,0.822781,5.85234,-2.75237,6.88925
M0031A,13.27,104.17,15.21,9.52308,2.54001,-0.235353,6.525
M0031A,13.37,104.27,15.24,18.799,1.63092,-0.323301,6.66269
M0031A,13.47,104.37,15.26,-0.132543,2.39344,0.0508184,4.83507
M0031A,13.57,104.47,15.29,7.05953,2.4817,0.372197,8.32836
M0031A,13.67,104.57,15.31,2.5558,-0.305632,1.74401,4.77977
M0031A,13.77,104.67,15.33,21.6195,-0.753796,1.97227,7.38337
M0031A,13.87,104.77,15.36,1.40095,1.92043,0.535631,6.13681
M0031A,13.97,104.87,15.38,-0.961694,-0.024378,1.85063,5.95085
M0031A,14.07,104.97,15.41,-3.69637,3.2997,0.181798,4.46076
M0031A,14.17,105.07,15.43,3.37761,1.65591,0.0022194,3.52767
M0031A,14.27,105.17,15.46,-1.40719,0.987585,-0.0392909,2.24556
M0031A,14.37,105.27,15.48,1.20873,0.521621,0.869582,3.87217
M0031A,14.47,105.37,15.51,-0.53594,0.772114,0.539765,3.32369
M0031A,14.57,105.47,15.53,-0.668036,0.790678,0.196033,3.50772
M0031A,14.67,105.57,15.56,8.74068,0.702911,-0.0173674,2.94814
M0031A,14.77,105.67,15.58,1.95274,1.24062,-0.0399955,2.93469
M0031A,14.87,105.77,15.61,11.0368,2.68223,-1.3621,4.44101
M0031A,14.97,105.87,15.63,-1.81153,-0.942047,2.56497,4.44494
M0031A,15.07,105.97,15.66,-1.79349,1.25227,-0.0963562,5.19774
M0031A,15.17,106.07,15.68,22.9834,-0.189812,0.38932,4.7697
M0031A,15.27,106.17,15.70,0.977441,-0.668147,1.78945,3.28997
M0031A,15.37,106.27,15.73,17.5046,0.452826,0.0203727,4.01196
M0031A,15.47,106.37,15.75,16.8196,-0.0592013,0.186847,3.11373
M0031A,15.57,106.47,15.78,-2.33351,1.8407,-0.0719806,3.32017
M0031A,15.67,106.57,15.80,7.82178,1.99727,-0.159959,4.9926
M0031A,15.77,106.67,15.83,13.6512,-0.0324361,0.180842,2.38989
M0031A,15.87,106.77,15.85,-0.922718,-0.504505,1.467,2.76145
M0031A,15.97,106.87,15.88,-0.640638,1.12097,-0.0298259,2.74404
M0031A,16.07,106.97,15.90,0.730254,1.16805,-0.0615289,2.95074
M0031A,16.17,107.07,15.93,8.7189,-0.375823,1.04899,4.22826
M0031A,16.27,107.17,15.95,-26.0425,-0.553222,2.76052,2.20916
M0031A,16.37,107.27,15.98,3.04708,0.475572,0.814783,4.43865
M0031A,16.47,107.37,16.00,15.3064,-0.47466,0.854712,4.45284
M0031A,16.57,107.47,16.02,-0.410371,0.764851,-0.0350042,2.94451
M0031A,16.67,107.57,16.05,6.46597,1.73213,-0.0570441,4.40667
M0031A,16.77,107.67,16.07,12.4939,0.152566,0.331942,2.93109
M0031A,16.87,107.77,16.10,4.11038,-1.12895,2.08166,4.41832
M0031A,16.97,107.87,16.12,6.69675,0.137801,0.664828,4.0246
M0031A,17.07,107.97,16.15,0.91472,0.226881,0.970366,3.47579
M0031A,17.17,108.07,16.17,12.7631,0.235621,0.322477,3.68388
M0031A,17.27,108.17,16.20,2.03967,-0.548462,1.35825,2.94762
M0031A,17.37,108.27,16.22,3.77474,-0.172359,1.38811,3.88244
M0031A,17.47,108.37,16.25,-0.726134,-0.53872,1.89252,3.86807
M0031A,17.57,108.47,16.27,7.81963,0.0855029,0.547827,3.29401
M0031A,17.67,108.57,16.30,-2.59845,0.572853,1.10714,4.2507
M0031A,17.77,108.67,16.32,-4.69093,2.58371,-0.626543,3.51082
M0031A,17.87,108.77,16.34,-2.15976,1.25447,0.227888,3.67287
M0031A,17.97,108.87,16.37,-1.52605,1.63918,0.00845876,3.34378
M0031A,18.07,108.97,16.39,2.72951,0.637944,0.0198586,2.04597
M0031A,18.17,109.07,16.42,1.65443,0.663954,0.327052,2.97172
M0031A,18.27,109.17,16.44,-2.32598,0.946715,0.603984,3.33194
M0031A,18.37,109.27,16.47,-4.69529,2.29717,-0.972299,2.76535
M0031A,18.47,109.37,16.49,4.41669,0.852579,0.196365,3.09475
M0031A,18.57,109.47,16.52,-20.8118,5.24139,-1.86148,3.47518
M0031A,18.67,109.57,16.54,13.9975,0.453289,-0.0938242,3.85516
M0031A,18.77,109.67,16.57,-1.6662,0.912413,-0.130535,2.41581
M0031A,18.87,109.77,16.59,11.117,0.0928612,-0.00692133,2.5998
M0031A,18.97,109.87,16.62,2.53877,1.50344,-0.104138,3.53018
M0031A,19.07,109.97,16.64,-3.51281,1.95628,-0.577552,2.75708
M0031A,19.17,110.07,16.66,16.7154,0.0798272,-0.00220618,3.48739
M0031A,19.27,110.17,16.69,-6.96977,0.376612,1.48524,3.68453
M0031A,19.37,110.27,16.71,-10.8843,2.34092,-0.40152,3.11811
M0031A,19.47,110.37,16.74,-1.23675,1.18778,-0.0613639,3.31432
M0031A,19.57,110.47,16.76,-0.932516,0.160236,0.812092,3.34497
M0031A,19.67,110.57,16.79,12.6504,1.06154,-0.128572,3.68128
M0031A,19.77,110.67,16.81,0.830369,-0.795326,2.07821,4.03236
M0031A,19.87,110.77,16.84,-1.01769,0.436163,0.271097,2.39115
M0031A,19.97,110.87,16.86,16.2099,0.576813,0.0112792,3.30675
M0031A,20.07,110.97,16.89,-1.10616,0.00632032,0.986982,3.65361
M0031A,20.17,111.07,16.91,-5.39017,1.33302,-0.19713,3.2848
M0031A,20.27,111.17,16.94,-4.71443,0.708864,0.513045,2.38695
M0031A,20.37,111.27,16.96,7.49257,0.502787,0.284661,3.46306
M0031A,20.47,111.37,16.98,-1.38732,1.58642,-0.00998807,3.44503
M0031A,20.57,111.47,17.01,7.21191,1.12472,-0.134978,4.77138
M0031A,20.67,111.57,17.03,10.1472,0.541376,-0.0157057,3.47883
M0031A,20.77,111.67,17.06,-0.843229,-0.242885,0.990729,2.55797
M0031A,20.87,111.77,17.08,-1.10671,0.958772,0.320094,2.72876
M0031A,20.97,111.87,17.11,4.75754,-0.731817,1.30636,3.64851
M0031A,21.07,111.97,17.13,9.89364,0.763255,0.00502589,3.59577
M0031A,21.17,112.07,17.16,10.2911,1.04557,-0.872831,2.73495
M0031A,21.27,112.17,17.18,6.2166,-0.671351,1.65222,3.82826
M0031A,21.37,112.27,17.21,12.0747,0.865625,-0.0132322,4.38356
M0031A,21.47,112.37,17.23,0.335925,-0.414742,1.35737,4.18337
M0031A,21.57,112.47,17.26,2.27069,2.00879,-0.335501,3.81561
M0031A,21.67,112.57,17.28,-0.151429,0.507469,0.487636,2.86038
M0031A,21.77,112.67,17.31,-3.18494,2.54317,-0.0161491,4.1323
M0031A,21.87,112.77,17.33,1.57123,0.815142,0.256896,3.25524
M0031A,21.97,112.87,17.35,4.97365,1.4088,0.15116,4.17102
M0031A,22.07,112.97,17.38,4.9196,-0.356757,1.00385,2.53449
M0031A,22.17,113.07,17.40,11.0246,1.99955,-1.05902,4.36677
M0031A,22.27,113.17,17.43,9.68247,-0.346001,0.922305,4.29277
M0031A,22.37,113.27,17.45,-0.427601,0.341395,0.682022,2.14712
M0031A,22.47,113.37,17.48,1.84848,0.890338,-0.0930433,3.26201
M0031A,22.57,113.47,17.50,-1.37657,0.948535,-0.0407191,2.17656
M0031A,22.67,113.57,17.53,1.70725,1.60109,0.0359084,3.44862
M0031A,22.77,113.67,17.55,11.3219,1.72376,0.000712316,5.07865
M0031A,22.87,113.77,17.58,13.1401,-0.229002,0.535202,3.81031
M0031A,22.97,113.87,17.60,9.1068,0.864194,-0.00946419,3.59516
M0031A,23.07,113.97,17.63,3.50365,1.18795,-0.287123,4.13799
M0031A,23.17,114.07,17.65,-7.92518,0.56624,0.763462,2.37029
M0031A,23.27,114.17,17.67,10.0688,0.332804,0.601608,3.64405
M0031A,23.37,114.27,17.70,7.04291,-0.206767,0.5387,3.07599
M0031A,23.47,114.37,17.72,22.0547,-0.148654,0.32358,4.56621
M0031A,23.57,114.47,17.75,2.92891,-0.860007,1.81407,4.179
M0031A,23.67,114.57,17.77,-1.74303,0.588797,0.692951,2.71458
M0031A,23.77,114.67,17.80,-1.4397,0.0350519,0.822496,2.19447
M0031A,23.87,114.77,17.82,10.1762,-0.206019,0.45368,2.90966
